Code;Name;ReceptionLaP;DeliveryLaP;Reception;PickupPoint;CourierDelivery;ForeignReceptionReturns;Terminal;Kladr;Region;CountryCode;UniqName;District;Prefix
Н00088286;Биокомбината;0;0;0;0;1;0;0;5004000001100;Московская;643;Биокомбината;Щелковский;п
172;Геленджик;1;1;1;1;1;1;1;2300000300000;Краснодарский;643;Геленджик;;г
04626;Долгопрудный;1;1;1;1;1;1;0;5000002900000;Московская;643;Долгопрудный;;г
04679;Заречный;0;1;0;1;0;0;1;5800000200000;Пензенская;643;Заречный (Пензенская обл);;г
Н00085159;Зеленый;0;0;0;0;1;0;0;5002100004200;Московская;643;Зеленый (Московская обл Ногинский р-н);Ногинский;п
04607;Ивантеевка;1;1;1;1;1;1;0;5000000700000;Московская;643;Ивантеевка;;г
Н00083814;Ильинское-Усово;0;0;0;0;1;0;0;5001300005200;Московская;643;Ильинское-Усово;Москва;п
Н00160540;Кокошкино;0;0;0;0;1;0;0;7700700000200;Москва;643;Кокошкино;Кокошкино;дп
202;Кропоткин;1;1;1;1;0;1;1;2301200100000;Краснодарский;643;Кропоткин;Кавказский;г
Н00160577;Марушкино;0;0;0;0;1;0;0;7700900000900;Москва;643;Марушкино;Марушкинское;д
Н00084865;Марфино;0;0;0;0;1;0;0;5001900003900;Московская;643;Марфино;Москва;с
Н00030546;Надежда;0;0;0;0;1;0;0;2602700000600;Ставропольский;643;Надежда (Ставропольский край Шпаковский р-н);Шпаковский;с
106;Новоуральск;1;1;1;1;1;1;1;6600001500000;Свердловская;643;Новоуральск;;г
175;Рыбинск;1;1;1;1;1;1;1;7601500100000;Ярославская;643;Рыбинск (Ярославская обл Рыбинский р-н);Рыбинский;г
Н00085235;Барвиха;0;0;0;0;1;0;0;5002200001500;Московская;643;Барвиха;Одинцовский;д
Н00085138;Бисерово;0;0;0;0;1;0;0;5002100001600;Московская;643;Бисерово;Ногинский;с
Н00083832;Володарского;0;0;0;0;1;0;0;5001400003100;Московская;643;Володарского;Ленинский;п
04441;Грозный;1;1;1;1;1;1;1;2000000100000;Чеченская;643;Грозный;;г
04847;Губкинский;1;1;1;1;0;1;1;8900000200000;Ямало-Ненецкий;643;Губкинский;;г
04533;Гусь-Хрустальный;1;1;1;1;0;1;1;3300000300000;Владимирская;643;Гусь-Хрустальный;;г
Н00160706;Ерино;0;0;0;0;1;0;0;7701600000400;Москва;643;Ерино;Рязановское;д
Н00084852;Жостово;0;0;0;0;1;0;0;5001900002600;Московская;643;Жостово;Москва;д
Н00084853;Здравница;0;0;0;0;1;0;0;5001900002700;Московская;643;Здравница;Москва;п
Н00086011;Константиново;0;0;0;0;1;0;0;5002800009600;Московская;643;Константиново;котельники;с
246;Магадан;1;1;1;1;0;1;1;4900000100000;Магаданская;643;Магадан;;г
04579;Мыски;1;1;1;1;0;1;1;4200000600000;Кемеровская;643;Мыски;;г
Н00083801;Нахабино;1;1;1;1;1;1;0;5001300002800;Московская;643;Нахабино;Москва;рп
02199;Александров;1;1;1;1;0;1;1;3300200100000;Владимирская;643;Александров;Александровский;г
04223;Арамиль;0;0;0;0;1;0;0;6602500200000;Свердловская;643;Арамиль;Сысертский;г
180;Березовский;1;1;1;1;1;1;1;6600000300000;Свердловская;643;Березовский (Свердловская обл);;г
205;Бийск;1;1;1;1;1;1;1;2200000400000;Алтайский;643;Бийск;;г
Н00087175;Брехово;0;0;0;0;1;0;0;5003300001800;Московская;643;Брехово;Солнечногорский;д
Н00036953;Волоконовка;0;0;0;0;1;0;0;3100600000100;Белгородская;643;Волоконовка;Волоконовский;п
03271;Гатчина;1;1;1;1;1;1;1;4700700100000;Ленинградская;643;Гатчина;Гатчинский;г
Н00038188;Дубовое;0;0;0;0;1;0;0;3102200002400;Белгородская;643;Дубовое (Белгородская обл Белгородский р-н);Белгородский;п
03357;Красково;0;0;0;0;1;0;0;5001700300000;Московская;643;Красково;Раменское;п
27;Курган;1;1;1;1;1;1;1;4500000100000;Курганская;643;Курган;;г
242;Новомосковск;1;1;1;1;0;1;1;7101700100000;Тульская;643;Новомосковск (Тульская обл Новомосковский р-н);Новомосковский;г
111;Орск;1;1;1;1;1;1;1;5600000400000;Оренбургская;643;Орск;;г
