Code;Name;Address;Phone;WorkSchedule;TripDescription;DeliveryPeriod;CityCode;CityName;TariffZone;Settlement;Area;Country;OnlyPrepaidOrders;AddressReduce;Acquiring;DigitalSignature;TypeOfOffice;NalKD;Metro;VolumeLimit;LoadLimit;GPS
78031;Санкт-Петербург Комендантский_7803_С;197227, Санкт-Петербург г, Комендантская пл, д.8, литер А, оф. 5Н;+7(812)930-09-15;пн-вс:10.00-21.00;"Проезд: маршрут. такси  №№-  91, 168.
Остановка: ""пр. Испытателей 37"".
Метро  -  ""Комендантский пр."".
От остановки дойти до Макдональдса, вход в Пункт выдачи правее по чётной стороне проспекта.
Вход через магазин ""Цветы"".
Пункт выдачи находится справа от ТЦ Променад (10 метров), ориентир магазин ""ЦВЕТЫ"".
Цокольное помещение";1;116;Санкт-Петербург;2;Санкт-Петербург;Санкт-Петербург;РОССИЯ;No;Комендантская пл, д.8, литер А, оф. 5Н;Yes;No;СПВЗ;No;Комендантский проспект;0.48;15;60.005783,30.258888
78041;Санкт-Петербург Дыбенко_7804_С;190000, Санкт-Петербург г, Дыбенко ул, д.27, корпус 1;+7(812)930-09-15;пн-вс:10.00-21.00;"Проезд:  троллейбус №№ - 14, 27, 28, трамвай №№ - 7, 23, 54, все №№ марш. такси до метро Дыбенко. 
Если стоять на стороне метро ""Дыбенко"" по ул. Большевиков и смотреть на метро, поворачиваем направо, переходим перекресток с ул. Дыбенко, поворачиваем налево, переходим перекресток, перед нами кафе ""Бургер Кинг"", обходим его. Во дворе - первое крыльцо от угла дома с вывеской пункт выдачи.";1;116;Санкт-Петербург;2;Санкт-Петербург;Санкт-Петербург;РОССИЯ;No;Дыбенко ул, д.27, корпус 1;Yes;No;СПВЗ;No;Улица Дыбенко;0.48;15;59.9055922,30.4799184
78051;Санкт-Петербург Энгельса_7805_С;194356, Санкт-Петербург г, Энгельса пр-кт, д.137;+7(812)930-09-15;пн-пт:10.00-20.30, сб-вс:10.00-18.00;"Остановка метро: ""Проспект Просвещения"". Перейти через дорогу, направо, ближе к концу корабля.
Примерное расстояние от Остановки до Пункта - 300 метров.
9-этажный жилой дом.
Вход в отделение со стороны дороги, правая часть дома, крайний вход перед аркой.
1 этаж.";1;116;Санкт-Петербург;2;Санкт-Петербург;Санкт-Петербург;РОССИЯ;No;Энгельса пр-кт, д.137;Yes;No;СПВЗ;No;Проспект Просвещения;0.48;15;60.050273,30.334607
82010;Симферополь Караимская_8201;295007, Симферополь г, Караимская, д.4;8-800-222-80-00;пн-пт:08.00-20.00, сб:10.00-15.00;"Остановка - Площадь Ленина.
Ориентиры, известные места - магазин ""Домовой"".
Расположение входа в отделение - крыльцо справа от магазина ""Домовой"".
Этаж - 1.";6;150;Симферополь;6;Симферополь;Крым Респ;РОССИЯ;No;Караимская, д.4;No;No;ПВЗ;Yes;;0.48;31;44.944952,34.103516
10.012;Москва Холодильный_7712_С;115191, Москва г, Холодильный пер, д.3, оф. 37А;+7(499)391-56-22;пн-пт:12.00-20.30;"Остановка - Метро ""Тульская"".
Примерное расстояние от остановки до отделения - 200 м.
ТРЦ ""Ролл Холл"".
Крупные вывески -  OZON,boxberry,DPD Hermes, MyShop, PickPoint.
Расположение входа в отделение - центральный вход, пройти до вывески  ""19-39"", павильон 37А.";1;68;Москва;1М;Москва;Москва;РОССИЯ;No;Холодильный пер, д.3, оф. 37А;Yes;No;СПВЗ;No;Тульская;0.48;15;55.7083892,37.6254865
10.015;Москва Лубянский_7715_С;101000, Москва г, Лубянский проезд, д.15, строение 4, оф. 12;+7(499)391-56-22;пн-пт:10.00-21.00, сб:10.00-18.00;"Проезд: маршрут.такси №№ - т25,м3,122,Н3.
Остановка: ""Ильинские ворота"".
Остановка метро: ""Китай-город"".
Метро ""Китай-Город"", последний вагон из центра, выход на улицу Марасейка из стеклянных дверей направо, на улице повернуть направо, пройти 10 метров и завернуть в арку, над аркой надпись ""ОТЕЛЬ"", далее во дворе повернуть налево, пройти ещё 10 метров вперед, после вывески на доме ""МОСЦВЕТТОРГ 2"" двери под большим козырьком, звонить в домофон в правую дверь с вывеской ПУНКТ ВЫДАЧИ ЗАКАЗОВ, офис 12  "".";1;68;Москва;1М;Москва;Москва;РОССИЯ;No;Лубянский проезд, д.15, строение 4, оф. 12;Yes;No;СПВЗ;No;Китай-город;0.48;31;55.756898,37.63341
10.016;Москва Новочеркасский_7716_С;109369, Москва г, Новочеркасский б-р, д.51;+7(499)391-56-22;пн-пт:10.00-20.00, сб:10.00-18.00;"Проезд: метро ""Марьино"", 1-ый вагон из центра, при выходе в город повернуть направо. Перейти дорогу и идти по правой стороне Новочеркасского бульвара до д. 51. 
Вход в пункт выдачи с противоположного торца здания. Отделение находится на 2 этаже.";1;68;Москва;1М;Москва;Москва;РОССИЯ;No;Новочеркасский б-р, д.51;Yes;No;СПВЗ;No;Марьино;0.48;31;55.648316,37.739501
10.017;Москва Маршала Малиновского_7717_С;123298, Москва г, Маршала Малиновского ул, д.6, корпус 1, офис 23;+7(499)391-56-22;пн-пт:10.00-21.00, сб:10.00-18.00;"Остановка метро: ""Октябрьское поле"".
Последний вагон из центра. Выход из метро в сторону ул. Народного Ополчения (8-й выход), повернуть направо, идти до  вывески ""Офисный центр Старт"",  вход со двора, цокольный этаж, при входе по коридору направо, офис 23 офис.";1;68;Москва;1М;Москва;Москва;РОССИЯ;No;Маршала Малиновского ул, д.6, корпус 1, офис 23;Yes;No;СПВЗ;No;Октябрьское поле;0.48;31;55.790782,37.494000
37071;Иваново Куконковых_3707_С;153013, Иваново г, Куконковых ул, д.104;8-800-222-80-00;пн-вс:09.00-21.00;"Проезд: автобус №№ - 100, 2, 40, 33, 130, 3, 14, 110, 120, троллейбус №№ - 2,6, маршрут.такси №№ - 100, 2, 10, 30, 43, 135, 31, 35, 37, 131.
Остановка: ""Детский городок"", ""Евроленд"", ""Ашан"".
Отделение находится около остановки в ТЦ ""Планета"". 1 этаж.";1;17;Иваново;2;Иваново;Ивановская обл;РОССИЯ;No;Куконковых ул, д.104;Yes;No;СПВЗ;No;;0.48;15;56.965918,41.018989
50681;Королев Пионерская_5068_С;141090, Королев г, Юбилейный мкр, Пионерская ул, д.1/4;+7(499)391-56-22;пн-пт:10.00-19.00, сб:11.00-15.00;"Проезд: автобус № - 499, марш. такси № - 15.
Остановка: ""Сквер"".
Пункт выдачи находится в административно-деловом центре. Светло-жёлтое шестиэтажное здание с зеркальными окнами. Вход в пункт выдачи через центральный вход, первый этаж, офис номер 3.";1;04609;Королев;1;Королев;Московская обл;РОССИЯ;No;Пионерская ул, д.1/4;Yes;No;СПВЗ;No;;0.48;15;55.932349,37.843741
