Code;Name;City
04854;Санкт-Петербург Терминал;Санкт-Петербург
82010;Симферополь Караимская_8201;Симферополь
10.012;Москва Холодильный_7712_С;Москва
10.015;Москва Лубянский_7715_С;Москва
10.016;Москва Новочеркасский_7716_С;Москва
10.017;Москва Маршала Малиновского_7717_С;Москва
37071;Иваново Куконковых_3707_С;Иваново
50681;Королев Пионерская_5068_С;Королев
86191;Нижневартовск Чапаева_8619_С;Нижневартовск
46091;Курск Ухтомского_4609_С;Курск
43081;Кирово-Чепецк 60 лет Октября_4308_С;Кирово-Чепецк
86171;Сургут Югорская_8617_С;Сургут
50661;Балашиха Фучика_5066_С;Балашиха
35111;Вологда Лермонтова_3511_С;Вологда
86181;Сургут Университетская_8618_С;Сургут
52331;Нижний Новгород Алексеевская_5233_С;Нижний Новгород
27131;Ванино Приморский_2713_С;Ванино
50721;Красногорск Заводская_5072_С;Красногорск
19041;Абакан Ломоносова_1904_С;Абакан
48111;Липецк Гоголя_4811_С;Липецк
16321;Казань Мусина_1632_С;Казань
40131;Калуга Ленина_4013_С;Калуга
40141;Калуга Болотникова_4014_С;Калуга
29071;Архангельск Ломоносова_2907_С;Архангельск
29081;Архангельск Ленинградский_2908_С;Архангельск
99401;Москва Мастеркова_9940_С;Москва
99411;Москва Яблочкова_9941_С;Москва
16311;Казань Мира_1631_С;Казань
99421;Москва Народного Ополчения_9942_С;Москва
33081;Гусь-Хрустальный Революции_3308_С;Гусь-Хрустальный
71261;Тула Ф. Энгельса_7126_С;Тула
52341;Нижний Новгород Медицинская_5234_С;Нижний Новгород
22181;Бийск имени Героя Советского Союза Васильева_2218_С;Бийск
50671;Серпухов Ворошилова_5067_С;Серпухов
42281;Кемерово Ленина_4228_С;Кемерово
26151;Ставрополь Ленина_2615_С;Ставрополь
50741;Воскресенск Лермонтова_5074_С;Воскресенск
50751;Лыткарино Пятый_5075_С;Лыткарино
33071;Ковров Лопатина_3307_С;Ковров
13051;Рузаевка Ленина_1305_С;Рузаевка
99331;Москва Адмирала Лазарева_9933_С;Москва
36201;Воронеж 45-ой Стрелковой дивизии_3620_С;Воронеж
58161;Пенза Бекешская_5816_С;Пенза
99381;Москва Академика Анохина_9938_С;Москва
1016;Фрязино Вокзальная_5005_С;Фрязино
62061;Рязань Первомайский_6206_С;Рязань
33091;Владимир Комиссарова_3309_С;Владимир
68101;Котовск Котовского_6810_С;Котовск
78721;Санкт-Петербург Будапештская_7872_С;Санкт-Петербург
78731;Санкт-Петербург Кронверкский_7873_С;Санкт-Петербург
36231;Воронеж Ленинский_3623_С;Воронеж
54351;Новосибирск Бориса Богаткова_5435_С;Новосибирск
78761;Санкт-Петербург Измайловский_7876_С;Санкт-Петербург
78791;Санкт-Петербург Котина_7879_С;Санкт-Петербург
78801;Санкт-Петербург Стачек_7880_С;Санкт-Петербург
78811;Санкт-Петербург Антонова-Овсеенко_7881_С;Санкт-Петербург
78821;Санкт-Петербург Михаила Дудина_7882_С;Санкт-Петербург
22201;Барнаул Павловский_2220_С;Барнаул
52361;Саров Зернова_5236_С;Саров
71281;Тула Союзная_7128_С;Тула
62071;Рязань Яблочкова_6207_С;Рязань
48121;Елец Советская_4812_С;Елец
50491;Долгопрудный Лихачевское_5049_С;Долгопрудный
30101;Астрахань Звездная_3010_С;Астрахань
66881;Нижний Тагил Тагилстроевская_6688_С;Нижний Тагил
99451;Москва Булатниковская_9945_С;Москва
99461;Москва Сущёвский Вал_9946_С;Москва
99471;Москва Профсоюзная_9947_С;Москва
99481;Москва Щербаковская_9948_С;Москва
99491;Москва Осенний_9949_С;Москва
22221;Барнаул Ленина_2222_С;Барнаул
52371;Выкса Луначарского_5237_С;Выкса
99501;Москва Толбухина_9950_С;Москва
23471;Сочи (Хоста) Привольный_2347_С;Сочи
27151;Хабаровск Краснореченская_2715_С;Хабаровск
27161;Хабаровск Руднева_2716_С;Хабаровск
61231;Волгодонск Курчатова_6123_С;Волгодонск
27141;Амурск Комсомольский_2714_С;Амурск
78781;Санкт-Петербург Транспортный_7878_С;Санкт-Петербург
1017;Зеленоград Солнечная_5006_С;Зеленоград
64351;Саратов Энтузиастов_6435_С;Саратов
36251;Воронеж Ленинградская_3625_С;Воронеж
23491;Ейск Коммунистическая_2349_С;Ейск
78841;Петергоф Петергофская_7884_С;Петергоф
50811;Монино Новинское_5081_С;Монино
78851;Санкт-Петербург Профессора Попова_7885_С;Санкт-Петербург
16341;Набережные Челны Академика Рубаненко_1634_С;Набережные Челны
99561;Москва Ефремова_9956_С;Москва
60051;Псков Коммунальная_6005_С;Псков
27171;Хабаровск Большой Аэродром_2717_С;Хабаровск
16351;Нижнекамск Шинников_1635_С;Нижнекамск
66901;Качканар Гикалова_6690_С;Качканар
99621;Раменское Советская_9962_С;Раменское
50871;Щелково Центральная_5087_С;Щелково
36261;Лиски Коммунистическая_3626_С;Лиски
36271;Бобров 22 Января_3627_С;Бобров
02401;Уфа Кирова_0240_С;Уфа
50841;Истра Воскресенская_5084_С;Истра
67041;Смоленск Рыленкова_6704_С;Смоленск
16381;Нижнекамск Мира_1638_С;Нижнекамск
38231;Иркутск Академическая_3823_С;Иркутск
50851;Одинцово Можайское_5085_С;Одинцово
50861;Зеленоград Андреевка_5086_С;Зеленоград
24261;Красноярск им газеты Красноярский Рабочий_2426_С;Красноярск
78861;Санкт-Петербург Ново-Александровская_7886_С;Санкт-Петербург
61241;Ростов-на-Дону Космонавтов_6124_С;Ростов-на-Дону
16371;Зеленодольск Комсомольская_1637_С;Зеленодольск
