tariff_name;sdek_id;pony_id;another_id
ѕосылка склад-склад;136;1;1
ѕосылка склад-дверь;137;2;2
ѕосылка дверь-склад;138;3;3
ѕосылка дверь-дверь;139;4;4
Ёкономична€ посылка склад-дверь;233;5;5
Ёкономична€ посылка склад-склад;234;6;6
CDEK Express склад-склад;291;7;7
CDEK Express дверь-дверь;293;8;8
CDEK Express склад-дверь;294;9;9
CDEK Express дверь-склад;295;10;10
Ёкспресс лайт дверь-дверь;1;11;11
—упер-экспресс до 18;3;12;12
Ёкономичный экспресс склад-склад;5;13;13
Ёкспресс лайт склад-склад;10;14;14
Ёкспресс лайт склад-дверь;11;15;15
Ёкспресс лайт дверь-склад;12;16;16
Ёкспресс т€желовесы склад-склад;15;17;17
Ёкспресс т€желовесы склад-дверь;16;18;18
Ёкспресс т€желовесы дверь-склад;17;19;19
Ёкспресс т€желовесы дверь-дверь;18;20;20
—упер-экспресс до 9;57;21;21
—упер-экспресс до 10;58;22;22
—упер-экспресс до 12;59;23;23
—упер-экспресс до 14;60;24;24
—упер-экспресс до 16;61;25;25
ћагистральный экспресс склад-склад;62;26;26
ћагистральный супер-экспресс склад-склад;63;27;27
;;;
